Student_ID,Study_Hours,Attendance_Percentage,Sleep_Hours,Previous_Score,Score
1,1.0,60,5.0,8,10.0
2,1.5,62,5.5,12,16.0
3,2.0,65,6.0,18,21.0
4,2.5,68,6.0,22,26.0
5,3.0,70,6.5,28,32.0
6,3.5,72,7.0,33,37.0
7,4.0,75,7.0,38,43.0
8,4.5,78,7.5,44,49.0
9,5.0,80,7.5,49,54.0
10,5.5,82,8.0,53,58.0
11,6.0,85,8.0,60,51.22222222222222
12,6.5,86,8.0,63,69.0
13,7.0,88,8.5,70,75.0
14,7.5,90,8.5,74,80.0
15,8.0,92,9.0,80,86.0
16,8.5,93,9.0,85,51.22222222222222
17,9.0,95,9.0,89,94.0
18,9.5,97,9.5,93,97.0
19,2.0,65,6.0,18,21.0
20,5.0,80,7.5,49,54.0
